"","cellname","col","row","plate","numERCC","totread","numENSMUS","numToxo","type","strain","time","genotype","isPTG","amountmouse","amounttoxo"
"131_A10","131_A10",10,"A","131",350,197687,187181,10156,"Tg3h","LDM",3,"LDM",0,415187.941485168,22527.1193856394
"131_A11","131_A11",11,"A","131",262,253362,233232,19868,"Tg3h","LDM",3,"LDM",0,788820.268247678,67196.1012620261
"131_A13","131_A13",13,"A","131",227,179248,139646,39375,"Tg12h","LDM",12,"LDM",0,1051059.97354141,296359.984949035
"131_A14","131_A14",14,"A","131",335,161825,139955,21535,"Tg12h","LDM",12,"LDM",0,254265.512297577,39124.0599287508
"131_A15","131_A15",15,"A","131",117,125313,122772,2424,"Tg12h","LDM",12,"LDM",0,323419.627308115,6385.56980903521
"131_A17","131_A17",17,"A","131",153,222818,185788,36877,"Tg12h","LDM",12,"LDM",0,543803.742061347,107939.428789783
"131_A18","131_A18",18,"A","131",258,274124,185703,88163,"Tg12h","LDM",12,"LDM",0,398573.421275857,189223.806507937
"131_A1","131_A1",1,"A","131",234,109987,109672,81,"ctrl","ctrl",0,"LDM",0,1702851.48294928,1257.66804762284
"131_A22","131_A22",22,"A","131",147,155355,155009,199,"TgLys3hToxo","ignore",-3,"LDM",0,2041709.55142067,2621.13942243813
"131_A2","131_A2",2,"A","131",660,109269,108235,374,"ctrl","ctrl",0,"LDM",0,68593.4498032037,237.020836387473
"131_A3","131_A3",3,"A","131",533,169050,168370,147,"ctrl","ctrl",0,"LDM",0,492821.043613522,430.270792963044
"131_A4","131_A4",4,"A","131",183,228402,228074,145,"ctrl","ctrl",0,"LDM",0,858311.202631953,545.678702445843
"131_A5","131_A5",5,"A","131",508,170230,169606,116,"ctrl","ctrl",0,"LDM",0,478805.941380738,327.473610604375
"131_A6","131_A6",6,"A","131",182,143092,142741,169,"ctrl","ctrl",0,"LDM",0,177304.488677265,209.921876590873
"131_A8","131_A8",8,"A","131",131,163243,146737,16375,"Tg3h","LDM",3,"LDM",0,773101.779759406,86273.6845073858
"131_A9","131_A9",9,"A","131",77,124213,80244,43892,"Tg3h","LDM",3,"LDM",0,568494.000536109,310955.818148782
"131_B10","131_B10",10,"B","131",316,191350,171312,19722,"Tg3h","LDM",3,"LDM",0,475041.139102588,54688.295889262
"131_B11","131_B11",11,"B","131",1112,181810,147483,33215,"Tg3h","LDM",3,"LDM",0,46261.2935946025,10418.6168354639
"131_B12","131_B12",12,"B","131",334,245007,228049,16624,"Tg3h","LDM",3,"LDM",0,286072.373365683,20853.7074700223
"131_B14","131_B14",14,"B","131",175,225748,184657,40916,"Tg12h","LDM",12,"LDM",0,442221.783763507,97986.7890438361
"131_B16","131_B16",16,"B","131",441,210076,144833,64802,"Tg12h","LDM",12,"LDM",0,321255.443282819,143737.927375758
