"Ensembl.Gene.ID","fc_strain","Associated.Gene.Name","p_strain","fc_time","p_time"
"ENSMUSG00000000568",0.488126931828843,"Hnrnpd",0.0602123312262455,0.166259315000822,1.81905971256128e-10
"ENSMUSG00000001228",0.599586463761292,"Uhrf1",0.326351211161863,0.363388646496806,2.31638053073066e-10
"ENSMUSG00000001525",0.876523466407759,"Tubb5",0.000538567279586624,0.245635146352688,9.61317499527597e-22
"ENSMUSG00000003031",0.568693762115343,"Cdkn1b",0.0444156918898289,0.1948048405395,6.75711821821498e-12
"ENSMUSG00000003382",1.67638222475577,"Etv3",6.94120825865307e-09,-0.0256435177715887,0.652022630322055
"ENSMUSG00000003824",0.895652522638336,"Syce2",0.0285892242608731,0.328556981625035,5.71757816892009e-16
"ENSMUSG00000004296",0.952871016006635,"Il12b",0.45379112254427,0.671083111190144,9.1753941371034e-09
"ENSMUSG00000004897",0.703868958324735,"Hdgf",0.00182194081764975,0.138310475124925,7.16118372207633e-09
"ENSMUSG00000005732",0.86889131494079,"Ranbp1",2.98270269105009e-05,0.153481091427652,3.16704274997971e-12
"ENSMUSG00000006378",0.874621684262414,"Gcat",0.107231066782039,0.400153201167041,3.98254355683939e-14
"ENSMUSG00000007564",1.23987226131849,"Ppp2r1a",1.68382471600506e-09,-0.0113804570669561,0.803791432600003
"ENSMUSG00000009575",0.42104737058201,"Cbx5",0.408956568346787,0.378995035885013,8.04410918502628e-17
"ENSMUSG00000014599",3.30297167662399,"Csf1",6.06132633006354e-11,0.0789053039784746,0.345646880050879
"ENSMUSG00000018341",3.05082130774549,"Il12rb2",4.84819638017713e-12,0.128971478180936,0.0310450644188732
"ENSMUSG00000018507",0.926462087188288,"Trpv2",0.0233786266571901,-0.24326944431937,8.49768339745559e-09
"ENSMUSG00000019970",-0.361652526590183,"Sgk1",0.547212841125849,-0.326105060268588,9.44364227416376e-10
"ENSMUSG00000020277",1.10914732617348,"Pfkl",1.46959467446555e-05,0.187827723306155,3.98601669947405e-12
"ENSMUSG00000020484",1.82238547541579,"Xbp1",3.53917178777117e-12,-0.00290390850727244,0.967162519650624
"ENSMUSG00000020534",1.34124920617513,"Shmt1",0.0412443203632417,0.408078546271919,9.55290449051957e-10
"ENSMUSG00000020638",1.75746109147057,"Cmpk2",0.0558885925218409,-0.70366256042537,5.8698506728143e-15
"ENSMUSG00000021196",1.32663070312738,"Pfkp",3.11972987239358e-09,0.0377712233618652,0.288913250420272
"ENSMUSG00000021270",1.16379586322614,"Hsp90aa1",7.96531331224861e-09,0.0761710963881169,0.00207895053185059
